门派,心法,奇穴位置,奇穴名,奇穴描述,技能ID,纵向位置,奇穴类型,奇穴颜色
天策,傲血战意,1,虎贲,每累计施展龙牙3次，使下一次龙牙施展时不消耗战意。,6517,1,1,0
天策,傲血战意,1,车悬阵,该招式“骑御”状态会替换“龙牙”招式，不受“龙牙”秘籍影响，消耗3点战意。施展后自身向右侧划出枪刃，移动状态下对右侧6尺范围内最多5个敌方目标持续造成100%武器伤害外加<SUB 30800 0>外功伤害，持续4秒，期间可以施展冲刺招式。再次释放或者结束时会对前方8尺范围造成100%武器伤害外加<SUB 30808 0>外功伤害。<TALENT 42670 1 >,30654,2,1,1
天策,傲血战意,1,破重围,纵马疾驰，自身免疫控制、沉默、缴械，受到的伤害降低30%，自身招式施展距离提高2尺，控制目标并连续造成13次共计<SUB 15163 0>外功伤害效果并使目标无法施展轻功，命中击倒中的目标伤害提高50%，骑马时方可施展此招式。,15158,3,1,0
天策,傲血战意,1,啸西风,施展后对50尺距离内随机身上存在“流血”效果的最多3名侠士目标周围召唤战狼对其进行攻击，持续9秒，持续期间内目标受到的疗伤成效降低30%，战狼伤害频率受召唤时的“流血”效果层数影响，层数越高频率越快。,38671,4,1,0
天策,傲血战意,2,破楼兰,“灭”对于气血值低于80%的目标造成100%的额外伤害，施展灭8秒内获得一次额外施展的机会，同时额外附带一段破招伤害。,6524,1,2,0
天策,傲血战意,2,长征,“突”变为2层充能，调息时间提高1秒，命中目标时使目标获得3秒“破军”效果并回复自身1点“战意”。,6514,2,2,0
天策,傲血战意,2,铁骑,“任驰骋”不再充能，“纵轻骑”效果持续时间增加5秒，“纵轻骑”效果下自身每造成三次外功伤害会延长一秒“纵轻骑”效果的时间，最多延长4次。,28442,3,2,0
天策,傲血战意,2,渊,解除自身所有移动限制(击倒和被击僵直除外)，冲刺到友方目标身边，使其3秒内受到的伤害降低20%且由自身承担，并使自身外功基础攻击力提高35%(<SKILLEx {D0} {BasicPhysicsAP 0.35}>点)，持续10秒。,2628,4,2,0
天策,傲血战意,3,击水,“流血”效果可叠3层，持续效果增加5跳。对有自身三层流血的目标再次添加流血效果，会额外造成<SUB 36568 1>外功伤害。,18226,1,2,0
天策,傲血战意,3,飞将,对击倒状态的目标伤害提高35%。,5673,2,2,0
天策,傲血战意,3,龙驭,“任驰骋”调息时间降低6秒，施展时获得6层“龙驭”效果，非“骑御”期间每次施展龙牙获得一层“龙驭”效果最多25层，“骑御”期间每次施展龙牙会消耗一层“龙驭”本次龙牙伤害提高40%。,24896,3,2,0
天策,傲血战意,3,背水一战,施展“撼如雷”获得12秒“背水一战”效果。\n背水一战：效果持续期间每2秒对自身造成最大气血值1%的伤害，同时对自身6尺内8名敌对侠士目标额外造成<SUB 37350 1>外功伤害，持续12秒，若命中目标，降低“撼如雷”调息时间1秒且下次伤害增加20%，最多提高100%。,37338,4,2,0
天策,傲血战意,4,破军,累计6次“破军”伤害则使目标获得<NounID 75>,23997,1,2,0
天策,傲血战意,4,青阳,“灭”的施展距离提高到25尺，施展时解除自身锁足减速不利效果并冲向目标，命中后使目标眩晕2秒。命中有自身“流血”效果的目标，每层“流血”额外造成1段<SUB 32909 1>外功伤害。,6530,2,2,0
天策,傲血战意,4,执旌,“纵轻骑”效果持续期间成功击倒目标则给目标添加“执旌”持续10秒，施展“撼如雷”时，若周围50尺内存在2名及以上被自身添加的“执旌”目标，使其3秒内无法施展内外招式。,42310,3,2,0
天策,傲血战意,4,牧云,“突”的调息时间增加37秒，施展后自身获得“牧云”效果，持续65秒，效果期间施展“龙牙”则叠加一层“牧云”效果，最多作用3次。,6511,4,2,0
天策,傲血战意,5,挫锐,施展“龙吟”后，20秒内下一次施展“穿云”距离增加4尺并会造成3段<SUB 36097 28>外功伤害。,32911,1,2,0
天策,傲血战意,5,大漠,施展“灭”后，使下一个“龙吟”额外造成<SUB 37618 1>外功伤害。,5659,2,2,0
天策,傲血战意,5,围魏,“战八方”作用目标数提高2个，作用范围提高2尺，每命中一个目标，自身获得一层2%最大生命值护盾，持续5秒。,42673,3,2,0
天策,傲血战意,5,骁勇,“突”附带“流血”和“破风”效果，命中拥有破军的目标额外添加一层“流血”。,18602,4,2,0
天策,傲血战意,6,出云,“战八方”会心几率提高10%，会心效果提高10%，可以在马下施展。,5669,1,2,0
天策,傲血战意,6,力破万钧,只能在马下施展，蓄力刺出长枪，蓄力期间自身免疫控制，移动速度降低50%，最多蓄力1.5秒，对面前12尺最多4个目标击退并最多造成<SUB 24843 3>点外功伤害。若将目标击退至障碍上，使得目标击倒，最多3秒。蓄力时间越长，伤害越高，击倒时间越长。对气血值低于80%的目标该招式会心率提高100%，每施展“龙牙”降低该招式4秒调息时间。,24841,2,2,0
天策,傲血战意,6,驰骋,施展“任驰骋”获得的外功基础攻击力效果提高至30%，可以在“骑御”状态施展“灭”。,14824,3,2,0
天策,傲血战意,6,振弦,施展“突”、“沧月”、“破坚阵”成功击倒目标后，会延迟对目标位置发射一波半径6尺的箭雨，对最多5个目标造成<SUB 24894 0>外功伤害，视作“乘龙箭”效果。,30653,4,2,0
天策,傲血战意,7,激雷,施展“撼如雷”后小队成员的外功破防值提高25%，外功基础攻击力提高30%，持续6秒。,6806,1,2,0
天策,傲血战意,7,夜征,“激雷”效果持续期间自身无视目标70%外功防御，效果持续时间提高200%。,5678,2,2,0
天策,傲血战意,7,追穷寇,“战八方”命中有自身“流血”效果的目标每层“流血”使该伤害提高30%。,42672,3,2,0
天策,傲血战意,7,破国,“任驰骋”上马后移动速度提高50%且无需运功，“纵轻骑”效果持续时间提高1秒，期间自身加速值突破上限，提高50%。,24899,4,2,0
天策,傲血战意,8,流电,“乘龙箭”命中有自身“破军”效果的目标，在目标位置生成一个半径6尺持续4秒的“飞鸣镝”区域，区域内最多5个敌对目标每秒会受到<SUB 32979 1>外功伤害。在区域内施展“撼如雷”则会引爆该区域对其中5个敌对目标造成<SUB 32980 1>外功伤害并使目标获得1层<NounID 75>。,18557,1,3,0
天策,傲血战意,8,戎行,“车悬阵”持续期间内命中击倒目标额外造成100%武器伤害附加最高<SUB 36258 4>点外功伤害再向前拖行一段距离并结束该技能。<TALENT_CORE 30654 1>,42670,2,3,1
天策,傲血战意,8,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,3,3,0
天策,傲血战意,8,徐如林,“啸如虎”结束后若自身气血值低于10%，回复40%气血值。,42671,4,3,0
天策,傲血战意,8,龙血,“龙牙”施展距离提高4尺，命中有自身“流血”效果的目标额外造成30%伤害。,15001,5,3,0
天策,傲血战意,8,牙璋,“流血”作用间隔缩短0.25秒，“战八方”调息时间增加4秒，命中目标附带“流血”“破风”效果。,14821,6,3,0
天策,傲血战意,8,易险,“乘龙箭”命中10尺外的目标时，重置自身“断魂刺”和“破坚阵”的招式调息时间，每次骑御状态下只可触发一次。,28564,7,3,0
天策,傲血战意,8,贯颐,“破坚阵”可基础调息时间中施展，若命中被击倒目标则延长该击倒3秒并造成<SUB 42274 1>伤害。,42273,8,3,0
天策,傲血战意,8,守孤城,“御”持续时间延长4秒，施展后每秒回复3%的气血与内力，持续5秒。,18487,9,3,0
天策,傲血战意,8,风虎,每点“战意”增加“穿云”“龙吟”“龙牙”“灭”5%伤害。,5666,10,3,0
天策,傲血战意,8,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,11,3,0
天策,傲血战意,8,霹雳,对目标及其附近额外的3个目标造成200%武器伤害并附加<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)外功伤害，使目标<BUFF 2774 0 desc>，持续12秒，并附带“流血”“破风”效果。若玩家目标身上存在护盾，则基于自身最大生命值的40%击碎其护盾值，再造成外功伤害。<TALENT 2610 1 伤害提高2%><TALENT 2610 2 伤害提高4%><TALENT 2610 3 伤害提高6%>,2611,12,3,0
天策,傲血战意,9,流电,“乘龙箭”命中有自身“破军”效果的目标，在目标位置生成一个半径6尺持续4秒的“飞鸣镝”区域，区域内最多5个敌对目标每秒会受到<SUB 32979 1>外功伤害。在区域内施展“撼如雷”则会引爆该区域对其中5个敌对目标造成<SUB 32980 1>外功伤害并使目标获得1层<NounID 75>。,18557,1,3,0
天策,傲血战意,9,戎行,“车悬阵”持续期间内命中击倒目标额外造成100%武器伤害附加最高<SUB 36258 4>点外功伤害再向前拖行一段距离并结束该技能。<TALENT_CORE 30654 1>,42670,2,3,1
天策,傲血战意,9,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,3,3,0
天策,傲血战意,9,徐如林,“啸如虎”结束后若自身气血值低于10%，回复40%气血值。,42671,4,3,0
天策,傲血战意,9,龙血,“龙牙”施展距离提高4尺，命中有自身“流血”效果的目标额外造成30%伤害。,15001,5,3,0
天策,傲血战意,9,牙璋,“流血”作用间隔缩短0.25秒，“战八方”调息时间增加4秒，命中目标附带“流血”“破风”效果。,14821,6,3,0
天策,傲血战意,9,易险,“乘龙箭”命中10尺外的目标时，重置自身“断魂刺”和“破坚阵”的招式调息时间，每次骑御状态下只可触发一次。,28564,7,3,0
天策,傲血战意,9,贯颐,“破坚阵”可基础调息时间中施展，若命中被击倒目标则延长该击倒3秒并造成<SUB 42274 1>伤害。,42273,8,3,0
天策,傲血战意,9,守孤城,“御”持续时间延长4秒，施展后每秒回复3%的气血与内力，持续5秒。,18487,9,3,0
天策,傲血战意,9,风虎,每点“战意”增加“穿云”“龙吟”“龙牙”“灭”5%伤害。,5666,10,3,0
天策,傲血战意,9,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,11,3,0
天策,傲血战意,9,霹雳,对目标及其附近额外的3个目标造成200%武器伤害并附加<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)外功伤害，使目标<BUFF 2774 0 desc>，持续12秒，并附带“流血”“破风”效果。若玩家目标身上存在护盾，则基于自身最大生命值的40%击碎其护盾值，再造成外功伤害。<TALENT 2610 1 伤害提高2%><TALENT 2610 2 伤害提高4%><TALENT 2610 3 伤害提高6%>,2611,12,3,0
天策,傲血战意,10,流电,“乘龙箭”命中有自身“破军”效果的目标，在目标位置生成一个半径6尺持续4秒的“飞鸣镝”区域，区域内最多5个敌对目标每秒会受到<SUB 32979 1>外功伤害。在区域内施展“撼如雷”则会引爆该区域对其中5个敌对目标造成<SUB 32980 1>外功伤害并使目标获得1层<NounID 75>。,18557,1,3,0
天策,傲血战意,10,戎行,“车悬阵”持续期间内命中击倒目标额外造成100%武器伤害附加最高<SUB 36258 4>点外功伤害再向前拖行一段距离并结束该技能。<TALENT_CORE 30654 1>,42670,2,3,1
天策,傲血战意,10,战心,“灭”附带流血和破风效果并使“流血”伤害提高20%，使自身立刻获得3点战意，并每秒回复3%内力和气血，持续3秒。,6781,3,3,0
天策,傲血战意,10,徐如林,“啸如虎”结束后若自身气血值低于10%，回复40%气血值。,42671,4,3,0
天策,傲血战意,10,龙血,“龙牙”施展距离提高4尺，命中有自身“流血”效果的目标额外造成30%伤害。,15001,5,3,0
天策,傲血战意,10,牙璋,“流血”作用间隔缩短0.25秒，“战八方”调息时间增加4秒，命中目标附带“流血”“破风”效果。,14821,6,3,0
天策,傲血战意,10,易险,“乘龙箭”命中10尺外的目标时，重置自身“断魂刺”和“破坚阵”的招式调息时间，每次骑御状态下只可触发一次。,28564,7,3,0
天策,傲血战意,10,贯颐,“破坚阵”可基础调息时间中施展，若命中被击倒目标则延长该击倒3秒并造成<SUB 42274 1>伤害。,42273,8,3,0
天策,傲血战意,10,守孤城,“御”持续时间延长4秒，施展后每秒回复3%的气血与内力，持续5秒。,18487,9,3,0
天策,傲血战意,10,风虎,每点“战意”增加“穿云”“龙吟”“龙牙”“灭”5%伤害。,5666,10,3,0
天策,傲血战意,10,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,18233,11,3,0
天策,傲血战意,10,霹雳,对目标及其附近额外的3个目标造成200%武器伤害并附加<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)外功伤害，使目标<BUFF 2774 0 desc>，持续12秒，并附带“流血”“破风”效果。若玩家目标身上存在护盾，则基于自身最大生命值的40%击碎其护盾值，再造成外功伤害。<TALENT 2610 1 伤害提高2%><TALENT 2610 2 伤害提高4%><TALENT 2610 3 伤害提高6%>,2611,12,3,0
天策,铁牢律,1,温邑,自身气血值每降低10%，“守如山”减伤效果持续时间增加1秒。,14804,1,1,0
天策,铁牢律,1,戈矛,“沧月”击退作用目标最高数量提高至7个，每成功击退1个目标，降低自身2秒“守如山”调息时间。,14826,2,1,0
天策,铁牢律,1,号令三军,一鼓，自身每2820点基础体质使团队成员无双等级提高715点，最多100层，持续30秒；二鼓，团队成员的无双提高层数衰减一半，持续30秒；三鼓，团队成员受到的所有伤害提高10%，持续至战斗结束，该招式每场战斗只能施展一次。<TALENT 42574 1 >,15115,3,1,1
天策,铁牢律,1,在握,“疾如风”调息时间降低7秒，施展后10秒内自身受到技能伤害被会心几率降低30%。,14805,4,1,0
天策,铁牢律,2,于役,“啸如虎”可在受控状态下施展，效果期间受到会心攻击恢复自身5%气血值，最多作用5次。,14822,1,2,0
天策,铁牢律,2,至武,受到伤害未重伤状态下自身气血值低于35%，立刻重置“守如山”调息时间，该效果每90秒最多出现一次。,14802,2,2,0
