ID	Name	Useage	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InParkour	InSlideSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	InBirdMove	CanTransfer	CostSingleStack	MorphInvalid	ValidByLevel	RLActions	Coexist	IsIntensityStackable	OnKungfuID
101	策划默认项(非程序默认行)	0	Normal	Body	0	101	0	Invalid	1	1	0	1	1	0	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0	0	0	Any	Any	Any	Any		0		0		63	1	0	1	0	1	Any								
70002	突_到点施放击倒	406	Normal	Body	0	207	0	Invalid	1	1	0	1	1	32	1	1	0	None	Any	Any	Any	0		0	0	1	atExecuteScript	skill_mobile/天策/移动端_傲血战意_子技能/移动端_突_到点调用击倒段.lua	0																																																								-1	1405485056		0			Any	Any	Any	Any				32		60	1	32	1	0	1	Any								
70003	突_移除缓冲动作	406	Normal	Trample	54034	12297	0	Invalid	1	1	0	1	1	32	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0			Any	Any	Any	Any				32		63	1	32	1	0	1	Any								
70004	突_记录目标ID	406	Normal	Body	0	16214	0	Invalid	1	1	0	1	1	80	0	1	1	None	Any	Any	Any	0		1	0	0																																																											-1	4294967294	0	0	0	0	Any	Any	Any	Any		0		80		63	1	80	1	0	1	Any								
70005	上元点鬟	405	Normal	Body	0	681	7	Invalid	1	1	0	1	6	48	0	0	1	None	Any	Any	Any	0		0	0	1																																														atCallTherapy	20	0				atCallTherapy	500						-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any								
70006	霹雳减疗效果	406	Normal	Body	0	576	0	Invalid	1	50	0	1	1	16	0	1	1	None	Any	Any	Any	0		1	0	0	atBeTherapyCoefficient	-512																																																									-1	3758030846	0	0			Any	Any	Any	Any				16		63	1	16	1	0	1	Any	1							
70007	上元点鬟_结束治疗	405	Normal	Body	0	3830	0	Invalid	1	1	0	1	31	8	0	0	1	None	Any	Any	Any	0		1	0	1																																																				atCallTherapy	346						-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	8	1	0	1	Any								
70011	天地低昂_减伤效果	405		TopHead		70011	7		1	40	0	1	1	16	0	1	1							1	0	1	atCallSubBuff	33086	40																																																									3757998078												16		63	1	16	1	1	1						26			
70012	名动四方_剑舞	405	Normal	Body	0	70012	0	Invalid	1	1	0	1	1	0	0	1	0	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0	0	0	Any	Any	Any	Any		0		0		63	1	0	1	0	1	Any			0					
70013	名动四方_剑舞表现	405		Trample	62022	12382	52		1	27	0	1	1	0	0	1	0			NotHorse				0	0	1																																																												3757998078					NotInSprint			NotInFollow				0		63	1	0	1	0	1						20			
70014	移动端_帝骖龙翔_定身控制	405	Halt	Trample		4	0		1	32	0	1	1	64	0	1	1							1	0	0	atFreeze			atSetNextBuffCount	15		atCallSubBuff	71343	1																																																		2	1405100032												64		60	1	64	1	0	1									
70016	浴火战衣	0	Damage	Trample	10008	693	0	Invalid	1	1	0	1	1000	16	0	1	1	None	Any	Any	Any	0		0	0	1																																														atCastSkillTargetDst	100369	1											-1	3556704254		0			Any	Any	Any	Any				16		60	1	16	1	0	1	Any								
70017	星楼月影	402		Body	0	1903	0		1	64	0	1	1	80	0	1	1							0	0	1	atSetNextBuffCount	1		atCallSubBuff	70716	1																																																						3758030846												80		63	1	80	1	0	1						29			
70018	春泥护花	402		TopHead	0	70018	5		1	1	1	8	1	320	0	1	0							1	0	1	atSkillEventHandler	9012		atSetNextBuffCount	40		atCallSubBuff	70169	50																																																	1		3757998078												320		63	1	320	1	1	1						28			
70018	春泥护花	402		TopHead	0	70018	5		2	2	1	8	1	320	0	1	0							1	0	1	atSkillEventHandler	9012		atSetNextBuffCount	40		atCallSubBuff	70169	50	atBeTherapyCoefficient	103																																															1		3757998078												320		63	1	320	1	1	1						28			
70018	春泥护花	402		TopHead	0	70018	5		3	2	1	8	1	320	0	1	0							1	0	1	atSkillEventHandler	9012		atSetNextBuffCount	40		atCallSubBuff	70169	50	atAllMagicDamageAddPercent	103																																															1		3757998078												320		63	1	320	1	1	1						28			
70019	流血Dot_2层	406	Damage	Body	0	70019	0		1	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	12													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		2	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	13													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		3	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	14													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		4	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	15													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		5	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	16													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		6	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	17													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		7	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	18													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		8	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	19													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		9	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	20													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		10	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	21													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		11	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	22													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		12	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	24													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		13	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	26													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		14	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	28													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		15	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	30													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		16	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	32													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		17	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	34													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		18	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	36													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		19	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	38													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		20	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	40													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		21	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	42													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		22	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	44													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		23	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	46													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		24	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	48													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		25	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	50													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		26	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	52													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		27	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	54													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		28	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	56													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		29	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	58													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70019	流血Dot_2层	406	Damage	Body	0	70019	0		30	1	1	2	7	32	0	0	1							1	0	0																																														atCallPhysicsDamage	60													3758030846	0		0	0								1		63	1	32	1	0	1		1							
70020	悟 · 任驰骋_免控	406	Normal	Body	0	1903	0	Invalid	1	80	0	1	1	80	0	1	1	None	Any	Any	Any	0		1	0	1	atImmunity	2		atImmunity	3		atImmunity	4		atImmunity	6		atImmunity	8		atImmunity	11		atImmunity	7		atKnockedDownRate	-1024		atImmuneSkillMove	1		atMountingRate	1024																														-1	3758030846		0			Any	Any	Any	Any				80		63	1	80	1	0	1	Any								
70020	悟 · 任驰骋_免控	406		Body	0	1903	0		2	81	0	1	1	160	0	1	1							1	0	1	atImmunity	2		atImmunity	3		atImmunity	4		atImmunity	6		atImmunity	8		atImmunity	11		atImmunity	7		atKnockedDownRate	-1024		atImmuneSkillMove	1		atMountingRate	1024																															3758030846												160		63	1	160	1	0	1									
70021	悟 · 龙吟_受到的外功伤害提高3%	406	Damage	Body	0	70021	0		1	1	0	1	1	224	0	1	1							1	0	0	atPhysicsDamageCoefficient	31																																																										3758030846												224		63	1	224	1	0	1									
70021	悟 · 龙吟_受到的外功伤害提高4%	406	Damage	Body	0	70021	0		2	1	0	1	1	224	0	1	1							1	0	0	atPhysicsDamageCoefficient	41																																																										3758030846												224		63	1	224	1	0	1									
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		3	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-50	0																																																									3758030846												224		63	1	224	1	0	1									
70021	悟 · 龙吟_破风_降低外功防御	406	Damage	Body	0	70021	2		4	1	0	1	1	224	0	1	1							1	0	0	atPhysicsShieldBase	-60	0																																																									3758030846												224		63	1	224	1	0	1									
